game_id,team_id_home,team_city_home,pts_paint_home,times_tied,total_turnovers_home,team_id_away,team_city_away,pts_paint_away,total_turnovers_away
21600630,1610612752,New York,48,2,16,1610612738,Boston,52,3
21600639,1610612743,Denver,50,6,15,1610612759,San Antonio,50,8
21600637,1610612742,Dallas,28,8,10,1610612748,Miami,38,13
21600636,1610612739,Cleveland,40,3,12,1610612756,Phoenix,54,16
21600649,1610612747,Los Angeles,52,9,24,1610612754,Indiana,36,21
21600643,1610612753,Orlando,58,1,10,1610612749,Milwaukee,36,12
21600642,1610612766,Charlotte,42,1,16,1610612761,Toronto,32,12
21600646,1610612745,Houston,64,2,15,1610612744,Golden State,48,15
21600644,1610612758,Sacramento,34,6,10,1610612763,Memphis,42,15
21600647,1610612737,Atlanta,48,2,20,1610612741,Chicago,42,25
21600655,1610612748,Miami,48,7,12,1610612749,Milwaukee,48,11
21600650,1610612738,Boston,42,22,21,1610612757,Portland,46,14
21600657,1610612759,San Antonio,48,13,14,1610612739,Cleveland,44,18
21600656,1610612745,Houston,44,5,13,1610612763,Memphis,38,12
21600659,1610612754,Indiana,38,0,17,1610612762,Utah,46,14
21600658,1610612746,LA,40,4,9,1610612743,Denver,58,10
21600653,1610612737,Atlanta,42,7,14,1610612755,Philadelphia,30,22
21600652,1610612766,Charlotte,34,5,13,1610612751,Brooklyn,38,14
21600662,1610612747,Los Angeles,24,3,18,1610612742,Dallas,32,10
21600661,1610612753,Orlando,52,4,12,1610612744,Golden State,46,19
21600663,1610612761,Toronto,36,5,10,1610612756,Phoenix,52,15
21600671,1610612740,New Orleans,44,2,8,1610612739,Cleveland,46,12
21600673,1610612760,Oklahoma City,34,13,11,1610612762,Utah,52,10
21600669,1610612758,Sacramento,56,6,14,1610612765,Detroit,46,16
21600666,1610612751,Brooklyn,36,6,17,1610612759,San Antonio,44,9
21600668,1610612744,Golden State,44,15,14,1610612748,Miami,38,15
21600667,1610612746,LA,28,3,11,1610612737,Atlanta,44,8
21600665,1610612766,Charlotte,40,1,8,1610612764,Washington,40,15
21600674,1610612761,Toronto,50,9,13,1610612759,San Antonio,46,12
21600676,1610612764,Washington,50,2,16,1610612738,Boston,40,14
21600678,1610612762,Utah,44,4,12,1610612743,Denver,40,14
21600675,1610612746,LA,20,6,19,1610612755,Philadelphia,66,6
21600677,1610612753,Orlando,40,6,19,1610612741,Chicago,40,13
21600682,1610612751,Brooklyn,42,10,15,1610612748,Miami,48,13
21600687,1610612766,Charlotte,52,3,15,1610612744,Golden State,40,12
21600685,1610612763,Memphis,44,9,10,1610612761,Toronto,46,9
21600686,1610612740,New Orleans,54,2,12,1610612760,Oklahoma City,62,16
21600683,1610612741,Chicago,40,3,7,1610612737,Atlanta,44,14
21600688,1610612752,New York,36,9,18,1610612742,Dallas,42,7
21600689,1610612757,Portland,50,8,11,1610612747,Los Angeles,40,15
21600681,1610612738,Boston,64,7,18,1610612745,Houston,48,17
21600680,1610612739,Cleveland,38,12,18,1610612758,Sacramento,42,12
21600693,1610612762,Utah,44,6,8,1610612747,Los Angeles,46,13
21600690,1610612760,Oklahoma City,34,6,17,1610612742,Dallas,36,12
21600692,1610612743,Denver,64,9,15,1610612756,Phoenix,42,11
21600691,1610612750,Minnesota,36,5,13,1610612754,Indiana,38,19
21600695,1610612739,Cleveland,44,3,14,1610612751,Brooklyn,46,11
21600694,1610612745,Houston,52,5,25,1610612755,Philadelphia,58,22
21600699,1610612752,New York,46,5,10,1610612766,Charlotte,46,13
21600701,1610612759,San Antonio,30,5,12,1610612740,New Orleans,60,14
21600702,1610612764,Washington,40,0,20,1610612737,Atlanta,30,20
21600700,1610612741,Chicago,40,12,21,1610612748,Miami,46,12
21600703,1610612757,Portland,28,3,12,1610612763,Memphis,46,11
21600696,1610612754,Indiana,36,12,10,1610612758,Sacramento,30,19
21600697,1610612738,Boston,54,6,10,1610612753,Orlando,34,12
21600698,1610612749,Milwaukee,44,1,19,1610612761,Toronto,54,16
21600709,1610612756,Phoenix,54,6,11,1610612743,Denver,46,15
21600706,1610612749,Milwaukee,48,5,16,1610612738,Boston,42,13
21600705,1610612765,Detroit,62,16,12,1610612748,Miami,38,11
21600707,1610612744,Golden State,64,0,11,1610612746,LA,34,14
21600714,1610612764,Washington,44,1,11,1610612740,New Orleans,46,15
21600716,1610612741,Chicago,46,7,12,1610612755,Philadelphia,56,13
21600718,1610612744,Golden State,32,5,18,1610612757,Portland,60,18
21600715,1610612761,Toronto,30,5,13,1610612753,Orlando,38,12
21600713,1610612745,Houston,40,2,15,1610612754,Indiana,64,10
21600712,1610612739,Cleveland,52,4,10,1610612760,Oklahoma City,52,16
21600717,1610612759,San Antonio,32,7,11,1610612742,Dallas,34,7
21600723,1610612756,Phoenix,38,0,17,1610612763,Memphis,34,18
21600720,1610612753,Orlando,46,8,11,1610612750,Minnesota,44,12
21600721,1610612765,Detroit,60,10,7,1610612738,Boston,38,10
21600722,1610612739,Cleveland,34,4,17,1610612742,Dallas,36,9
21600719,1610612748,Miami,40,3,11,1610612751,Brooklyn,58,16
21600727,1610612759,San Antonio,44,6,17,1610612760,Oklahoma City,38,20
21600726,1610612745,Houston,38,5,14,1610612758,Sacramento,32,11
21600729,1610612743,Denver,34,8,11,1610612747,Los Angeles,64,15
21600724,1610612764,Washington,62,7,12,1610612752,New York,44,12
21600725,1610612740,New Orleans,44,11,13,1610612761,Toronto,52,15
21600728,1610612766,Charlotte,22,1,10,1610612757,Portland,44,8
21600730,1610612753,Orlando,30,0,16,1610612754,Indiana,34,18
21600735,1610612740,New Orleans,62,4,15,1610612765,Detroit,58,10
21600736,1610612755,Philadelphia,52,3,13,1610612742,Dallas,46,11
21600732,1610612738,Boston,46,0,10,1610612761,Toronto,50,16
21600734,1610612737,Atlanta,36,0,16,1610612748,Miami,54,13
21600733,1610612752,New York,46,2,13,1610612751,Brooklyn,50,21
21600741,1610612766,Charlotte,40,1,10,1610612744,Golden State,42,10
21600731,1610612750,Minnesota,44,1,13,1610612739,Cleveland,52,10
